Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 3, 512, 512, 3, 512, 512, 3, FRAME, 0, 0, 262144, 262144, 1, 0, 1,,,,,,,,, MSMC, DMA, 262144, 262144, 2, 524288, 0, 0, ,,,,,,,, DDR, CPU, 262144, 262144, 3, 787456, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_DataConvertLayer, 3, 512, 512, 3, 512, 512, 3,  COL, 0, 0, 87552, 262144, 9, 0, 9,,,,,,,,, L2, DMA, 175104, 175104, 1, 175104, 0, 0, ,,,,,,,, MSMC, CPU, 262144, 262144, 3, 786432, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, TIDL_BatchNormLayer, 3, 512, 512, 3, 512, 512, 3,  COL, 0, 0, 87552, 262144, 9, 0, 9,,,,,,,,, L2, DMA, 175104, 175104, 1, 175104, 0, 0, MSMC, CPU, 87616, 87552, 2, 175232, 0, c0000, DDR, DMA, 350464, 262144, 3, 1052416, 0, 271400, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3, TIDL_ConvolutionLayer, 3, 512, 512, 32, 256, 256, 3, ROW_C, 512, 512, 31744, 262144, 9, 1, 9,,,,,,,,, L2, DMA, 65536, 65536, 3, 196736, 0, 0, MSMC, CPU, 8000, 7936, 32, 512000, 0, 480, DDR, DMA, 80000, 65536, 32, 2561024, 0, 0, ,,,,,,,, MSMC, DMA, 27, 27, 32, 1152, 0, 0, ,,,,,,,, 
 4, TIDL_ConvolutionLayer, 32, 256, 256, 32, 256, 256, 1,  COL, 0, 0, 65536, 65536, 32, 1, 32,,,,,,,,, L2, DMA, 65536, 65536, 2, 131200, 0, 0, MSMC, CPU, 65600, 65536, 2, 131200, 0, 480, DDR, DMA, 65536, 65536, 32, 2098176, 0, 271400, ,,,,,,,, MSMC, DMA, 9, 9, 96, 1152, 0, 0, ,,,,,,,, 
 5, TIDL_ConvolutionLayer, 32, 256, 256, 16, 256, 256, 32, ROW_L, 0, 0, 2528, 65536, 26, 1, 26,,,,,,,,, L2, DMA, 5056, 5056, 32, 222592, 0, 0, MSMC, CPU, 2624, 2528, 16, 83968, 0, 280, DDR, DMA, 68224, 65536, 16, 1092608, 0, 63f400, ,,,,,,,, MSMC, DMA, 32, 32, 16, 640, 0, 0, ,,,,,,,, 
 6, TIDL_ConvolutionLayer, 16, 256, 256, 96, 256, 256, 16, ROW_L, 0, 0, 2624, 65536, 25, 1, 25,,,,,,,,, L2, DMA, 5312, 5312, 16, 145408, 0, 0, MSMC, CPU, 2624, 2624, 96, 503808, 0, 880, DDR, DMA, 68224, 65536, 96, 6550528, 0, 0, ,,,,,,,, MSMC, DMA, 16, 16, 96, 2176, 0, 0, ,,,,,,,, 
 7, TIDL_ConvolutionLayer, 96, 256, 256, 96, 128, 128, 1,  COL, 256, 0, 32768, 65536, 192, 192, 192,,,,,,,,, L2, DMA, 66560, 66560, 1, 66560, 0, 0, MSMC, CPU, 8384, 8192, 2, 16768, 0, 2100, DDR, DMA, 25152, 16384, 96, 2415616, 0, 63f400, ,,,,,,,, MSMC, DMA, 9, 9, 288, 8448, 0, 0, ,,,,,,,, 
 8, TIDL_ConvolutionLayer, 96, 128, 128, 24, 128, 128, 96, ROW_L, 0, 0, 1056, 16384, 16, 1, 16,,,,,,,,, L2, DMA, 2112, 2112, 96, 217728, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 24, 394752, 0, 0, ,,,,,,,, MSMC, DMA, 192, 96, 24, 4864, 0, 60600, ,,,,,,,, 
 9, TIDL_ConvolutionLayer, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 1728, 16384, 10, 1, 10,,,,,,,,, L2, DMA, 3520, 3520, 24, 98432, 0, 0, MSMC, CPU, 1728, 1728, 144, 497664, 0, 61700, DDR, DMA, 19008, 16384, 144, 2738176, 0, 0, ,,,,,,,, MSMC, DMA, 24, 24, 144, 4352, 0, 60600, ,,,,,,,, 
 10, TIDL_ConvolutionLayer, 144, 128, 128, 144, 128, 128, 1,  COL, 0, 0, 16384, 16384, 36, 1, 36,,,,,,,,, L2, DMA, 16384, 16384, 8, 131200, 0, 0, MSMC, CPU, 16448, 16384, 8, 131584, 0, 61900, DDR, DMA, 16384, 16384, 144, 2360320, 0, 29c800, ,,,,,,,, MSMC, DMA, 9, 9, 432, 4864, 0, 60600, ,,,,,,,, 
 11, TIDL_ConvolutionLayer, 144, 128, 128, 24, 128, 128, 144, ROW_L, 0, 0, 672, 16384, 25, 1, 25,,,,,,,,, L2, DMA, 1344, 1344, 144, 209152, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 24, 394752, 0, 61900, ,,,,,,,, MSMC, DMA, 192, 144, 24, 4864, 0, 60600, ,,,,,,,, 
 12, TIDL_EltWiseLayer, 48, 128, 128, 24, 128, 128, 48,  COL, 0, 0, 16384, 16384, 8, 0, 8,,,,,,,,, L2, DMA, 16512, 16512, 6, 198144, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 24, 394752, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 13, TIDL_ConvolutionLayer, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 1728, 16384, 10, 1, 10,,,,,,,,, L2, DMA, 3520, 3520, 24, 98432, 0, 0, MSMC, CPU, 1728, 1728, 144, 497664, 0, 61700, DDR, DMA, 19008, 16384, 144, 2738176, 0, 0, ,,,,,,,, MSMC, DMA, 24, 24, 144, 4352, 0, 60600, ,,,,,,,, 
 14, TIDL_ConvolutionLayer, 144, 128, 128, 144, 64, 64, 1,  COL, 0, 0, 16384, 16384, 24, 1, 24,,,,,,,,, L2, DMA, 16384, 16384, 12, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 144, 599040, 0, 0, ,,,,,,,, MSMC, DMA, 9, 9, 432, 4864, 0, 92400, ,,,,,,,, 
 15, TIDL_ConvolutionLayer, 144, 64, 64, 32, 64, 64, 144, ROW_L, 0, 0, 736, 4096, 6, 1, 6,,,,,,,,, L2, DMA, 1472, 1472, 144, 215040, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 0, ,,,,,,,, MSMC, DMA, 192, 144, 32, 6400, 0, 92400, ,,,,,,,, 
 16, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 3488, 4096, 2, 1, 2,,,,,,,,, L2, DMA, 6976, 6976, 32, 223360, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 22480, ,,,,,,,, MSMC, DMA, 32, 32, 192, 7296, 0, 20800, ,,,,,,,, 
 17, TIDL_ConvolutionLayer, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4096, 4096, 48, 1, 48,,,,,,,,, L2, DMA, 4096, 4096, 8, 32896, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 22100, ,,,,,,,, MSMC, DMA, 9, 9, 576, 6400, 0, 20800, ,,,,,,,, 
 18, TIDL_ConvolutionLayer, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 544, 4096, 8, 1, 8,,,,,,,,, L2, DMA, 1088, 1088, 192, 212352, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 22100, ,,,,,,,, MSMC, DMA, 192, 192, 32, 6400, 0, 20800, ,,,,,,,, 
 19, TIDL_EltWiseLayer, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4096, 4096, 4, 0, 4,,,,,,,,, L2, DMA, 4160, 4160, 16, 133120, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 20, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 3488, 4096, 2, 1, 2,,,,,,,,, L2, DMA, 6976, 6976, 32, 223360, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 22480, ,,,,,,,, MSMC, DMA, 32, 32, 192, 7296, 0, 20800, ,,,,,,,, 
 21, TIDL_ConvolutionLayer, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4096, 4096, 48, 1, 48,,,,,,,,, L2, DMA, 4096, 4096, 8, 32896, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 22100, ,,,,,,,, MSMC, DMA, 9, 9, 576, 6400, 0, 20800, ,,,,,,,, 
 22, TIDL_ConvolutionLayer, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 544, 4096, 8, 1, 8,,,,,,,,, L2, DMA, 1088, 1088, 192, 212352, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 22100, ,,,,,,,, MSMC, DMA, 192, 192, 32, 6400, 0, 20800, ,,,,,,,, 
 23, TIDL_EltWiseLayer, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4096, 4096, 4, 0, 4,,,,,,,,, L2, DMA, 4160, 4160, 16, 133120, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 42c80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 3488, 4096, 2, 1, 2,,,,,,,,, L2, DMA, 6976, 6976, 32, 223360, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 1c80, ,,,,,,,, MSMC, DMA, 32, 32, 192, 7296, 0, 0, ,,,,,,,, 
 25, TIDL_ConvolutionLayer, 192, 64, 64, 192, 32, 32, 1,  COL, 0, 0, 4096, 4096, 8, 1, 8,,,,,,,,, L2, DMA, 4096, 4096, 48, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 192, 208896, 0, 1980, ,,,,,,,, MSMC, DMA, 9, 9, 576, 6400, 0, 0, ,,,,,,,, 
 26, TIDL_ConvolutionLayer, 192, 32, 32, 64, 32, 32, 192, ROW_L, 0, 0, 544, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 192, 209024, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, MSMC, DMA, 192, 192, 64, 12672, 0, 34980, ,,,,,,,, 
 27, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 17900, ,,,,,,,, MSMC, DMA, 64, 64, 384, 26880, 0, 11000, ,,,,,,,, 
 28, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 96, 1, 96,,,,,,,,, L2, DMA, 1024, 1024, 8, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, MSMC, DMA, 9, 9, 1152, 12672, 0, 7d900, ,,,,,,,, 
 29, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 288, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 384, 221952, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, MSMC, DMA, 448, 384, 64, 29056, 0, 77000, ,,,,,,,, 
 30, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 17900, ,,,,,,,, MSMC, DMA, 64, 64, 384, 26880, 0, 11000, ,,,,,,,, 
 32, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 96, 1, 96,,,,,,,,, L2, DMA, 1024, 1024, 8, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, MSMC, DMA, 9, 9, 1152, 12672, 0, 7d900, ,,,,,,,, 
 33, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 288, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 384, 221952, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, MSMC, DMA_ONCE, 448, 384, 64, 29056, 0, eac80, ,,,,,,,, 
 34, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 17900, ,,,,,,,, MSMC, DMA, 64, 64, 384, 26880, 0, 11000, ,,,,,,,, 
 36, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 96, 1, 96,,,,,,,,, L2, DMA, 1024, 1024, 8, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 11000, ,,,,,,,, MSMC, DMA, 9, 9, 1152, 12672, 0, 7d900, ,,,,,,,, 
 37, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 288, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 384, 221952, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, MSMC, DMA, 448, 384, 64, 29056, 0, 77000, ,,,,,,,, 
 38, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 22300, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 6900, ,,,,,,,, MSMC, DMA, 64, 64, 384, 26880, 0, 0, ,,,,,,,, 
 40, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 96, 1, 96,,,,,,,,, L2, DMA, 1024, 1024, 8, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 0, ,,,,,,,, MSMC, DMA, 9, 9, 1152, 12672, 0, 6c900, ,,,,,,,, 
 41, TIDL_ConvolutionLayer, 384, 32, 32, 96, 32, 32, 384, ROW_L, 0, 0, 288, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 384, 221952, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 0, ,,,,,,,, MSMC, DMA, 448, 384, 96, 43648, 0, 66000, ,,,,,,,, 
 42, TIDL_ConvolutionLayer, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 35580, ,,,,,,,, MSMC, DMA, 192, 96, 576, 114048, 0, 19800, ,,,,,,,, 
 43, TIDL_ConvolutionLayer, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1024, 1024, 144, 1, 144,,,,,,,,, L2, DMA, 1024, 1024, 8, 8320, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 19800, ,,,,,,,, MSMC, DMA, 9, 9, 1728, 19072, 0, ce580, ,,,,,,,, 
