 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
       1,TIDL_DataConvertLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     512,     512,     512,     512,  119.52,119520.00,35029.80,102370.00, 5500.00,11650.00,102320.00,768.00,768.00,  0.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.79,    0.79,    0.00,       2,    0.36,
       2,TIDL_BatchNormLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     512,     512,     512,     512,  154.20,154202.00,58492.80,143912.00, 7000.00, 3290.00,143862.00,768.00,768.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    1.58,    0.79,    0.00,    0.79,       2,    0.36,
       3,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,       3,      32,     512,     512,     256,     256,  508.59,508593.51,485193.51,485243.51, 8600.00,14750.00,403623.33,768.00,2048.00,  1.12,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    2.10,    2.11,    0.79,    2.10,       0,   15.12,
       4,TIDL_ConvolutionLayer,       3,       3,      32,       1,       1,       0,       0,       0,       1,         1,      32,      32,     256,     256,     256,     256,  626.08,626076.66,77434.95,607159.99, 5100.00,13816.67,607109.99,2048.00,2048.00,  0.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    2.10,    0.03,    2.10,    2.10,       2,    3.61,
       5,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      16,     256,     256,     256,     256,  478.16,478163.32,252949.41,457346.66, 8600.00,12216.67,457296.66,2048.00,1024.00,  0.62,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    1.06,    1.05,    2.12,    1.06,       1,    8.08,
       6,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      16,      96,     256,     256,     256,     256, 1078.01,1078009.98,734728.52,1057593.31, 8600.00,11816.67,1057543.31,1024.00,6144.00,  2.12,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    6.29,    6.33,    1.05,    6.29,       1,   10.79,
       7,TIDL_ConvolutionLayer,       3,       3,      96,       2,       2,       0,       0,       0,       1,         1,      96,      96,     256,     256,     128,     128, 1244.74,1244743.31,458142.32,1221026.65, 5100.00,18616.67,1220976.65,6144.00,1536.00,  0.62,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    1.57,    0.10,    6.32,    1.57,       2,    1.45,
       8,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      96,      24,     128,     128,     128,     128,  244.01,244010.00,188020.80,221160.00, 7100.00,15750.00,221110.00,1536.00,384.00,  2.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.40,    1.62,    0.00,       1,   17.87,
       9,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      24,     144,     128,     128,     128,     128,  374.14,374144.66,306741.60,356154.66, 8600.00, 9390.00,356104.66,384.00,2304.00,  4.25,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    2.75,    2.41,    0.00,    2.36,       1,   18.42,
      10,TIDL_ConvolutionLayer,       3,       3,     144,       1,       1,       0,       0,       0,       1,         1,     144,     144,     128,     128,     128,     128,  719.04,719036.65,87569.05,684253.32, 5100.00,29683.33,684203.32,2304.00,2304.00,  0.88,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    2.36,    0.16,    2.36,    2.36,       2,    3.61,
